num_samples,dim,opt_file,start_score,start_true_fitness,best_train_true_fitness,best_train_predicted_score,best_train_predicted_true_fitness,simulated_annealing_score,simulated_annealing_improvement,simulated_annealing_min_hamming,simulated_annealing_nn_true_fitness,simulated_annealing_nn_predicted_fitness,simulated_annealing_nn_percentile,simulated_annealing_nn_hamming,greedy_hill_climb_score,greedy_hill_climb_improvement,greedy_hill_climb_min_hamming,greedy_hill_climb_nn_true_fitness,greedy_hill_climb_nn_predicted_fitness,greedy_hill_climb_nn_percentile,greedy_hill_climb_nn_hamming,random_search_score,random_search_improvement,random_search_min_hamming,random_search_nn_true_fitness,random_search_nn_predicted_fitness,random_search_nn_percentile,random_search_nn_hamming,genetic_algorithm_score,genetic_algorithm_improvement,genetic_algorithm_min_hamming,genetic_algorithm_nn_true_fitness,genetic_algorithm_nn_predicted_fitness,genetic_algorithm_nn_percentile,genetic_algorithm_nn_hamming,latent_bo_score,latent_bo_improvement,latent_bo_min_hamming,latent_bo_nn_true_fitness,latent_bo_nn_predicted_fitness,latent_bo_nn_percentile,latent_bo_nn_hamming,latent_bo_ucb
1000,8,optimize_gfp_1000_8.json,2.5747176489128845,4.03142173285,4.03142173285,3.6976859286414587,3.44926874748,3.697685928641463,1.1229682797285787,0,3.44926874748,3.6976859286414587,57.25,0,3.6976859286414587,1.1229682797285743,0,3.44926874748,3.6976859286414587,57.25,0,3.6976859286414587,1.1229682797285743,0,3.44926874748,3.6976859286414587,57.25,0,3.6976859286414587,1.1229682797285743,0,3.44926874748,3.6976859286414587,57.25,0,3.476729783642729,0.9020121347298447,0,3.80571663685,3.476729783642729,96.75,0,3.02022983669519
1000,16,optimize_gfp_1000_16.json,3.618375282381164,4.03142173285,4.03142173285,4.434264778532386,3.89298984577,5.395714606173048,1.7773393237918835,3,3.39107764815,3.3113648859401135,54.25,3,5.345933889604765,1.7275586072236004,3,4.03142173285,3.618375282381164,100.0,3,5.291024567592706,1.6726492852115422,2,3.4693852940400003,3.371089962338793,59.5,2,5.329122887630939,1.7107476052497752,3,3.5863677011900004,3.187218242828771,71.25,3,3.8274906205359667,0.20911533815480254,2,3.81836024891,3.6027510102277254,97.5,2,3.395881996113099
1000,32,optimize_gfp_1000_32.json,4.103927517720248,4.03142173285,4.03142173285,4.6560456415176645,3.80096112486,15.06991380832533,10.965986290605082,10,3.793430861,4.15448398409681,96.25,10,15.069913808325325,10.965986290605077,10,3.793430861,4.15448398409681,96.25,10,11.99003053863489,7.886103020914643,10,3.73419818106,3.4625197578128626,89.875,10,15.069913808325325,10.965986290605077,10,3.793430861,4.15448398409681,96.25,10,-3.9534363603976708,-8.057363878117918,6,3.1904486521900006,2.705962134415384,45.5,6,7.422655922694442
1000,64,optimize_gfp_1000_64.json,4.0313575210986645,4.03142173285,4.03142173285,4.0313575210986645,4.03142173285,11.826909253547203,7.795551732448539,20,3.5563201979900003,3.55633643676132,66.875,20,11.298070100656096,7.266712579557431,21,3.81836024891,3.818328334009458,97.5,21,6.689224386361141,2.657866865262476,21,3.70560316834,3.705590651272799,87.375,21,12.028058085332152,7.996700564233487,22,3.37200463251,3.371985138394242,53.0,22,0.5439983496736542,-3.4873591714250103,20,1.30547039526,1.3055030814902873,19.875,20,9902.058995859777
2000,8,optimize_gfp_2000_8.json,3.219825748179949,4.05922081536,4.05922081536,3.5641763647311193,3.5810599651,3.564176364731119,0.34435061655117005,0,3.5810599651,3.5641763647311193,72.3125,0,3.533896029384999,0.31407028120505,0,3.42053308121,3.533896029384999,55.4375,0,3.5641763647311193,0.3443506165511705,0,3.5810599651,3.5641763647311193,72.3125,0,3.5641763647311193,0.3443506165511705,0,3.5810599651,3.5641763647311193,72.3125,0,3.245861928589157,0.026036180409207965,0,3.55263310715,3.245861928589157,67.75,0,3.1530740616157633
2000,16,optimize_gfp_2000_16.json,3.053525261707868,4.05922081536,4.05922081536,4.006454768833251,3.54559897134,4.908530378248457,1.8550051165405894,3,3.70077655434,3.3404765013834137,88.6875,3,4.629031077038248,1.5755058153303803,3,3.6011599659400004,3.198139666392369,74.5,3,4.752560240631075,1.699034978923207,3,3.7430036379,3.875862755142637,92.625,3,4.908530378248444,1.855005116540576,3,3.70077655434,3.3404765013834137,88.6875,3,2.9911832814878068,-0.0623419802200611,2,1.33456293098,2.628143827993122,22.5,2,3.593568672824055
2000,32,optimize_gfp_2000_32.json,3.548538533717124,4.05922081536,4.05922081536,4.762037987359308,3.80191546583,9.713713286579244,6.16517475286212,9,3.61066986257,3.7710718924768325,75.75,9,10.332461720563291,6.783923186846167,9,2.80999450291,2.57082241491627,41.625,9,7.79032634601526,4.241787812298137,7,3.67535396531,3.664401529394354,84.0625,7,10.332461720563291,6.783923186846167,9,2.80999450291,2.57082241491627,41.625,9,0.8871094995411837,-2.6614290341759403,7,3.86668366764,3.7466205651777034,98.8125,7,7.626037109726415
2000,64,optimize_gfp_2000_64.json,4.059078367209247,4.05922081536,4.05922081536,4.059078367209247,4.05922081536,27.717153543042144,23.6580751758329,22,1.30103013031,1.301045298233976,9.6875,22,23.235296833104858,19.17621846589561,18,4.05922081536,4.059078367209247,100.0,18,13.150217106690885,9.091138739481638,19,2.70099908826,2.7010720468022713,41.5,19,27.269794652261947,23.210716285052698,21,1.30170193661,1.3019532522548367,18.0,21,-0.2856066554936154,-4.344685022702863,23,1.30103080124,1.3010422141006934,12.0,23,9963.161293086547
5000,8,optimize_gfp_5000_8.json,2.7086881320775023,4.07251222436,4.07251222436,3.6321094521137733,3.5450572949400003,3.63210945211378,0.9234213200362777,0,3.5450572949400003,3.6321094521137733,65.75,0,3.4054808922442747,0.6967927601667725,0,3.74364826643,3.4054808922442747,92.75,0,3.6321094521137733,0.9234213200362711,0,3.5450572949400003,3.6321094521137733,65.75,0,3.6321094521137733,0.9234213200362711,0,3.5450572949400003,3.6321094521137733,65.75,0,3.134205127835658,0.42551699575815594,0,3.64021788676,3.134205127835658,78.45,0,3.0781430121724376
5000,16,optimize_gfp_5000_16.json,2.323474351522158,4.07251222436,4.07251222436,3.945787861071022,3.645594267130001,4.204295842823537,1.8808214913013792,3,3.75515881854,3.2864426214694067,93.95,3,4.127722534262368,1.80424818274021,1,3.5727307390199994,3.9093453261012128,69.25,1,4.13585492161819,1.8123805700960318,2,3.57322466715,3.680857268644984,69.325,2,4.1548253388301575,1.8313509873079994,1,3.645594267130001,3.945787861071022,79.225,1,2.9390756574465664,0.6156013059244083,1,3.72233435955,3.2594013540877893,90.475,1,3.4438816033987143
5000,32,optimize_gfp_5000_32.json,3.5204929874250857,4.07251222436,4.07251222436,4.550101458922409,3.63818976166,6.746029422239147,3.225536434814061,9,3.3884969796,3.586621237385936,53.65,9,6.746029422239154,3.2255364348140683,9,3.3884969796,3.586621237385936,53.65,9,5.404864983387361,1.8843719959622751,5,3.6646361058,3.825406432575684,81.6,5,6.423462590946041,2.9029696035209556,7,3.75535574733,3.5988486551138235,93.975,7,1.942957670826022,-1.5775353165990635,8,3.35979468896,2.280292631917205,52.2,8,7.174621735239137
5000,64,optimize_gfp_5000_64.json,3.376570612524283,4.07251222436,4.07251222436,5.126921385406835,3.866131191130002,16.5292236158484,13.152653003324119,20,3.50379067889,3.0346480910569573,61.05,20,15.582725713392993,12.20615510086871,21,3.60048456116,3.9038621965155986,72.95,21,8.962841100852179,5.586270488327896,19,3.26647594409,3.386855161004277,48.525,19,15.245038548673865,11.868467936149582,20,3.42851343751,3.4293547444570693,55.775,20,3.202549321103577,-0.174021291420706,18,1.30102995921,2.4376953369510757,4.025,18,9959.208075429546
10000,8,optimize_gfp_10000_8.json,2.9268232149958604,4.10786742178,4.10786742178,3.6733281562137323,3.59539863492,3.6733281562137337,0.7465049412178733,0,3.59539863492,3.6733281562137323,72.375,0,3.1969294099405055,0.27010619494464505,0,3.18841274605,3.1969294099405055,45.675,0,3.6733281562137323,0.7465049412178719,0,3.59539863492,3.6733281562137323,72.375,0,3.6733281562137323,0.7465049412178719,0,3.59539863492,3.6733281562137323,72.375,0,3.354902868631936,0.4280796536360758,0,3.45002048146,3.354902868631936,57.3125,0,3.008118161949128
